src/agents/base.py:2: unused import 'Not' (90% confidence, 1 line)
src/runners/ModelFreeRunner.py:226: unused variable 't_eval' (60% confidence, 1 line)
src/runners/ModelFreeRunner.py:283: unused variable 't_eval' (60% confidence, 1 line)
src/runners/simple_baseline.py:1: unused import 'json' (90% confidence, 1 line)
src/runners/simple_baseline.py:2: unused import 'time' (90% confidence, 1 line)
src/utils/network.py:10: unused attribute 'fc' (60% confidence, 1 line)
src/utils/network.py:83: unused variable 'advantage_only' (100% confidence, 1 line)
src/utils/utils.py:4: unused import 'VQUIT' (90% confidence, 1 line)
src/utils/utils.py:42: unused variable 'sub_var' (60% confidence, 1 line)
src/evaluator/evaluator.py:72: unused method 'load_agent_model' (60% confidence, 2 lines)
src/evaluator/evaluator.py:75: unused method 'save_agent_model' (60% confidence, 2 lines)
src/loggers/base.py:20: unused method 'log_env_train' (60% confidence, 2 lines)
src/loggers/base.py:23: unused method 'log_env_val' (60% confidence, 2 lines)
src/networks/network_baselines.py:29: unused function 'count_vars' (60% confidence, 2 lines)
src/runners/simple_baseline.py:20: unused method 'evaluation' (60% confidence, 2 lines)
src/utils/utils.py:169: unused function 'reward_state_correlation' (60% confidence, 2 lines)
src/utils/utils.py:209: unused method 'sample_staleness' (60% confidence, 2 lines)
src/utils/utils.py:222: unused method 'gradient_stats' (60% confidence, 2 lines)
src/utils/utils.py:227: unused method 'component_throughput' (60% confidence, 2 lines)
src/evaluator/evaluator.py:68: unused method 'init_agent' (60% confidence, 3 lines)
src/networks/network_baselines.py:83: unused method 'forward' (60% confidence, 3 lines)
src/encoders/vae.py:122: unused method 'loss' (60% confidence, 4 lines)
src/evaluator/evaluator.py:78: unused method 'train' (60% confidence, 4 lines)
src/evaluator/evaluator.py:171: unused method 'create_env' (60% confidence, 4 lines)
src/networks/network_baselines.py:15: unused function 'combined_shape' (60% confidence, 4 lines)
src/agents/random_agent.py:7: unused class 'RandomAgent' (60% confidence, 5 lines)
src/encoders/vae.py:116: unused method 'forward' (60% confidence, 5 lines)
src/runners/base.py:16: unused method 'evaluation' (60% confidence, 5 lines)
src/utils/envwrapper_aicrowd.py:40: unused method 'reset_episode' (60% confidence, 6 lines)
src/utils/network.py:6: unused function 'resnet18' (60% confidence, 6 lines)
src/utils/utils.py:201: unused method 'collect_episode_lengths' (60% confidence, 6 lines)
src/utils/utils.py:137: unused method 'relative_policy_entropy' (60% confidence, 7 lines)
src/utils/utils.py:213: unused method 'step_stats' (60% confidence, 7 lines)
src/agents/SACAgent.py:229: unused method 'update_best_pct_complete' (60% confidence, 8 lines)
src/utils/utils.py:147: unused method 'KLdivergence' (60% confidence, 8 lines)
src/networks/network_baselines.py:122: unused method 'forward' (60% confidence, 9 lines)
src/utils/utils.py:52: unused method 'is_number' (60% confidence, 10 lines)
src/utils/utils.py:92: unused method 'save_thread' (60% confidence, 10 lines)
src/utils/utils.py:157: unused method 'residual_variance' (60% confidence, 10 lines)
src/networks/network_baselines.py:133: unused class 'MLPCategoricalActor' (60% confidence, 11 lines)
src/utils/utils.py:188: unused method 'collect_reward_values_value_targets' (60% confidence, 12 lines)
src/encoders/dataloaders/expert_demo_dataloader.py:39: unused function 'get_expert_demo_dataloaders' (60% confidence, 13 lines)
src/utils/network.py:37: unused method 'forward' (60% confidence, 13 lines)
src/runners/simple_baseline.py:7: unused class 'SimpleRunner' (60% confidence, 15 lines)
src/utils/utils.py:33: unused method 'resolve_envvars' (60% confidence, 17 lines)
src/networks/critic.py:120: unused method 'forward' (60% confidence, 19 lines)
src/networks/critic.py:167: unused method 'forward' (60% confidence, 19 lines)
src/utils/network.py:83: unused method 'forward' (60% confidence, 19 lines)
src/networks/critic.py:62: unused method 'forward' (60% confidence, 24 lines)
src/networks/network_baselines.py:88: unused class 'MLPActorCritic' (60% confidence, 25 lines)
src/evaluator/evaluator.py:83: unused method 'evaluate' (60% confidence, 28 lines)
src/networks/network_baselines.py:45: unused method 'forward' (60% confidence, 31 lines)
src/agents/SACAgent.py:238: unused method 'add_experience' (60% confidence, 33 lines)
src/loggers/TensorboardLogger.py:18: unused method 'log_train_metrics' (60% confidence, 38 lines)
src/utils/utils.py:64: unused class 'RecordExperience' (60% confidence, 38 lines)
src/networks/network_baselines.py:146: unused class 'MLPGaussianActor' (60% confidence, 41 lines)
src/utils/network.py:104: unused class 'ActorCritic' (60% confidence, 65 lines)
src/runners/WorkerRunner.py:8: unused class 'WorkerRunner' (60% confidence, 66 lines)
src/buffers/SimpleReplayBuffer.py:10: unused class 'SimpleReplayBuffer' (60% confidence, 96 lines)
src/networks/critic.py:197: unused class 'ActorCritic' (60% confidence, 105 lines)
src/buffers/PPOBuffer.py:15: unused class 'PPOBuffer' (60% confidence, 108 lines)
src/encoders/vae.py:15: unused class 'VAE' (60% confidence, 115 lines)
src/utils/utils.py:105: unused class 'DebuggingRL' (60% confidence, 124 lines)
src/evaluator/evaluator.py:15: unused class 'Learn2RaceEvaluator' (60% confidence, 160 lines)
src/runners/ModelFreeRunner.py:29: unused class 'ModelFreeRunner' (60% confidence, 325 lines)
